row,no,addr,district,action,conf,via,oldLat,oldLng,newLat,newLng,movedKm
226,B0411-22,4 Sears Hill Road,Smiths,kept,client-original,,32.313466,-64.733358,32.313466,-64.733358,0
227,B0426-22,17 Store Hill,Smiths,OSM,street,store hill,32.3175347,-64.7463399666666,32.3163615,-64.7462481,0.13
228,B0413-22,79 Middle Road,Warwick,RECOVERED,client-point,client coordinate sitting on middle road,32.270226,-64.804049,32.266766,-64.8088,0.59
229,B0343-22,19 Stardust Drive,Hamilton,kept,client-original,,32.337594,-64.729783,32.337594,-64.729783,0
230,B0434-22,1 Two Way Mews,Pembroke,kept,client-original,,32.298826,-64.778847,32.298826,-64.778847,0
231,BR0184-22,10 Harrington Sound Road,Smiths,RECOVERED,client-point,client coordinate sitting on harrington sound road,32.321583,-64.732999,32.324886,-64.715552,1.68
232,B0440-22,99 Harrington Sound Road,Smiths,RECOVERED,client-point,client coordinate sitting on harrington sound road,32.325188,-64.715632,32.324435,-64.715038,0.1
233,B0412-22,12 Belmont Road,Warwick,kept,client-original,,32.274263,-64.803115,32.274263,-64.803115,0
234,B0394-22,8 Lone Palm Drive,Pembroke,kept,client-original,,32.295165,-64.80576,32.295165,-64.80576,0
235,B0428-22,9 Port Royal Gardens,Southampton,kept,client-original,,32.253296,-64.844369,32.253296,-64.844369,0
236,B0421-22,15 Mizzentop,Warwick,kept,client-original,,32.273301,-64.807095,32.273301,-64.807095,0
237,B0414-22,5 Jennings Road,Smiths,kept,client-original,,32.322108,-64.740832,32.322108,-64.740832,0
238,B0435-22,5 Sunset Pass,Pembroke,kept,client-original,,32.304898,-64.801096,32.304898,-64.801096,0
239,B0445-22,35 Tuckers Town Road,St. George,kept,client-original,,32.333606,-64.6874645,32.333606,-64.6874645,0
240,B0437-22,2 Millhouse Bay Lane,Hamilton,kept,client-original,,32.34144,-64.708892,32.34144,-64.708892,0
241,B0225-22,15 Point Pleasant Road,City of Hamilton,kept,client-original,,32.2912,-64.787432,32.2912,-64.787432,0
242,B0436-22,33 Knapton Hill,Smiths,kept,client-original,,32.317326,-64.720308,32.317326,-64.720308,0
243,BR0190-22,44 West Side Road,Sandys,kept,client-original,,32.296346,-64.87516,32.296346,-64.87516,0
244,B0447-22,49 Paynters Hill,Hamilton,REVIEW,parish-anchor,street not in OSM,32.3375,-64.70222,32.3412801,-64.7255713,2.24
245,B0446-22,24 Narrows Lane,St. George,kept,client-original,,32.369447,-64.664483,32.369447,-64.664483,0
246,B0462-22,28 Southcourt Avenue,Paget,kept,client-original,,32.287374,-64.764142,32.287374,-64.764142,0
247,B0466-22,10 Rockywold Road,Sandys,kept,client-original,,32.268524,-64.879506,32.268524,-64.879506,0
248,B0459-22,15 Gilbert Hill,Smiths,kept,client-original,,32.310215,-64.73868,32.310215,-64.73868,0
249,B0500-22,27 Cherry Hill Park,Paget,kept,client-original,,32.277398,-64.78452,32.277398,-64.78452,0
250,B0494-22,38 Clarendon Road,Bermuda,kept,client-original,,32.320337,-64.738059,32.320337,-64.738059,0
251,B0481-22,6 Bay View Drive,Southampton,kept,client-original,,32.253871,-64.849624,32.253871,-64.849624,0
252,B0496-22,8 Inghams Drive,Pembroke,kept,client-original,,32.304897,-64.800542,32.304897,-64.800542,0
253,B0485-22,8 Scarrington Hill,Paget,kept,client-original,,32.279714,-64.786672,32.279714,-64.786672,0
254,BR0213-22,7 Mill Shares Road,Pembroke,kept,client-original,,32.296819,-64.80178,32.296819,-64.80178,0
255,BREV0403-22,8 Holly Lane,Smiths,OSM,street,holly lane,32.319887,-64.739033,32.320226,-64.7395011,0.06
256,BC0052-22,37 Richmond Road,Devonshire,kept,client-original,,32.2942516,-64.7880402,32.2942516,-64.7880402,0
257,BR0229-22,10 Bluebird Lane,Sandys,OSM,street,bluebird lane,32.279783,-64.873973,32.2794681,-64.8749615,0.1
258,B0514-22,4 St. Anne's Close,Southampton,kept,client-original,,32.249996,-64.843622,32.249996,-64.843622,0
259,B0519-22,2 Second Avenue,Pembroke,OSM,street,second avenue,32.295074,-64.775279,32.2955659,-64.7735148,0.17
260,B0524-22,6 Watch Hill Lane,Warwick,kept,client-original,,32.265783,-64.814065,32.265783,-64.814065,0
261,BR0238-22,7 Fairways Road,Warwick,kept,client-original,,32.264251,-64.826365,32.264251,-64.826365,0
262,B0490-22,23 Rebecca Road,Southampton,kept,client-original,,32.258812,-64.831001,32.258812,-64.831001,0
263,BREV0426-22,31 Tamarind Vale,Warwick,kept,client-original,,32.26958,-64.813951,32.26958,-64.813951,0
264,B0492-22,82 South Road Unit: A,Warwick,kept,client-original,,32.2689,-64.788678,32.2689,-64.788678,0
265,B0513-22,1 Two Way Mews,Pembroke,kept,client-original,,32.298826,-64.778847,32.298826,-64.778847,0
266,B0512-22,2 Old Slip Lane,Pembroke,kept,client-original,,32.292373,-64.795747,32.292373,-64.795747,0
267,B0486-22,28 Knapton Hill,Smiths,RECOVERED,client-point,client coordinate sitting on knapton hill,32.31643,-64.720511,32.315555,-64.721756,0.15
268,B0534-22,12 Somers Hill Road,Hamilton,kept,client-original,,32.328064,-64.739177,32.328064,-64.739177,0
269,B0489-22,12 Southcote Road,Paget,kept,client-original,,32.277112,-64.781423,32.277112,-64.781423,0
270,B0531-22,15 Beaming Hill,Southampton,kept,client-original,,32.250896,-64.83238,32.250896,-64.83238,0
271,B0027-22,37 Somerset Road,Sandys,kept,client-original,,32.299632,-64.870749,32.299632,-64.870749,0
272,B0506-22,16 Tamarind Vale,Warwick,kept,client-original,,32.269127,-64.812874,32.269127,-64.812874,0
273,B0545-22,5 Oceanside Road,Southampton,kept,client-original,,32.251013,-64.865177,32.251013,-64.865177,0
274,B0026-22,66 Middle Road,Warwick,kept,client-original,,32.266766,-64.8088,32.266766,-64.8088,0
275,B0567-22,1 Undina Watch,Southampton,OSM,street,undina watch,32.25180835555556,-64.8333210666666,32.2537229,-64.8351824,0.28
276,B0549-22,9 Middle Road,Warwick,kept,client-original,,32.263627,-64.818196,32.263627,-64.818196,0
277,B0488-22,25 Peace Haven Drive,Sandys,kept,client-original,,32.275104,-64.873684,32.275104,-64.873684,0
278,B0396-22,62 Ord Road,Paget,kept,client-original,,32.279288,-64.781306,32.279288,-64.781306,0
279,B0491-22,16 Riddell's Bay Road,Warwick,RECOVERED,client-point,client coordinate sitting on riddells bay road,32.264353,-64.819995,32.263842,-64.821897,0.19
280,BC0129-22,65 The Glebe Road,Pembroke,kept,client-original,,32.305787,-64.776371,32.305787,-64.776371,0
281,B0557-22,6 Idle Acres Road,Smiths,kept,client-original,,32.314736,-64.72709,32.314736,-64.72709,0
282,B0482-22,14 Riddell's Bay Road,Warwick,kept,client-original,,32.263703,-64.820292,32.263703,-64.820292,0
283,B0366-22,19 Harrington Hundreds Road,Smiths,kept,client-original,,32.318016,-64.724186,32.318016,-64.724186,0
284,B0364-22,15 Rocky Ridge Road,Smiths,kept,client-original,,32.326712,-64.715055,32.326712,-64.715055,0
285,B0581-22,44 West Side Road,Sandys,kept,client-original,,32.296346,-64.87516,32.296346,-64.87516,0
286,BR0237-22,1 Governors Alley,Town of St. George,kept,client-original,,32.382913,-64.6770893,32.382913,-64.6770893,0
287,BC0108-22,26 Palmetto Road,Devonshire,kept,client-original,,32.308132,-64.763581,32.308132,-64.763581,0
288,BC0118-22,34 College Road,Paget,kept,client-original,,32.277493,-64.774458,32.277493,-64.774458,0
289,B0016-23,8 Lolly's Lane,Smiths,kept,client-original,,32.320695,-64.728839,32.320695,-64.728839,0
290,BC0002-23,2 Ferry Road,St. George,kept,client-original,,32.374781,-64.696942,32.374781,-64.696942,0
291,B0013-23,16 Fairways Road,Warwick,kept,client-original,,32.262642,-64.830564,32.262642,-64.830564,0
292,BREV0002-23,62 Ord Road,Paget,kept,client-original,,32.279288,-64.781306,32.279288,-64.781306,0
293,B0006-23,6 Point Shares Road,Pembroke,kept,client-original,,32.2953502,-64.8027044,32.2953502,-64.8027044,0
294,B0033-23,54 Mill Shares Road,Pembroke,kept,client-original,,32.29799,-64.806348,32.29799,-64.806348,0
295,B0004-23,2 South Road,Bermuda,kept,client-original,,32.331277,-64.6996152,32.331277,-64.6996152,0
296,B0002-23,4 Hilton Drive,Paget,kept,client-original,,32.276478,-64.782386,32.276478,-64.782386,0
297,B0011-23,80 North Shore Road Unit: A,Pembroke,RECOVERED,client-point,client coordinate sitting on north shore road,32.304914,-64.789226,32.3056539905629,-64.78817544197068,0.13
298,B0014-23,20 Burgess Point Road,Warwick,kept,client-original,,32.267103,-64.828649,32.267103,-64.828649,0
299,B0059-23,13 Lolly's Lane,Smiths,kept,client-original,,32.320614,-64.728385,32.320614,-64.728385,0
300,B0058-23,80 Harbour Road,Warwick,RECOVERED,client-point,client coordinate sitting on harbour road,32.277411,-64.799762,32.280388,-64.796549,0.45
301,B0208-22,10 Devon Point Lane,Devonshire,kept,client-original,,32.300133,-64.743776,32.300133,-64.743776,0
302,B0012-23,22 Narrows Lane,St. George,kept,client-original,,32.369247,-64.66457,32.369247,-64.66457,0
303,B0068-23,,Southampton,REVIEW,parish-anchor,street not in OSM,0,0,32.2544361,-64.8439449,8062.12
304,B0064-23,8 Agar's Hill,Pembroke,kept,client-original,,32.2944,-64.805,32.2944,-64.805,0
305,B0030-23,22 Mission Crescent,Paget,kept,client-original,,32.277893,-64.772558,32.277893,-64.772558,0
306,B0066-23,15 Pinetree Lane Unit: A,Sandys,OSM,street,pinetree lane,32.3008855,-64.864057,32.3015127,-64.8639537,0.07
307,B0069-23,34 Mill Shares Road,Pembroke,RECOVERED,client-point,client coordinate sitting on mill shares road,32.298994,-64.804708,32.298722,-64.805815,0.11
308,BR0027-23,61 Harbour Road,Paget,kept,client-original,,32.286387,-64.782047,32.286387,-64.782047,0
309,BC0130-22,24 Rosemont Avenue,Pembroke,kept,client-original,,32.294916,-64.793056,32.294916,-64.793056,0
310,B0080-23,2 Bloomfield Drive,Warwick,REVIEW,parish-anchor,street not in OSM,32.263842,-64.821897,32.2678602,-64.8053367,1.62
311,B0478-22,15 Point Shares Road,Pembroke,OSM,exact,point shares road,32.2942895,-64.8035103,32.2942916,-64.803488,0
312,B0045-23,8 Tousvent Lane,Warwick,OSM,exact,tousvent lane,32.275466,-64.792692,32.275437,-64.7926468,0.01
313,B0499-22,3 Windy Bank,Smiths,kept,client-original,,32.314349,-64.742889,32.314349,-64.742889,0
314,B0089-23,5 Cann Drive,Sandys,OSM,street,cann drive,32.293971,-64.87229,32.2941084,-64.8725165,0.03
315,B0083-23,11 Manse Road,Paget,kept,client-original,,32.281129,-64.789129,32.281129,-64.789129,0
316,B0046-23,52 Ord Road,Paget,kept,client-original,,32.278589,-64.781118,32.278589,-64.781118,0
317,B0105-23,102 Cobbs Hill Road,Warwick,kept,client-original,,32.270143,-64.787835,32.270143,-64.787835,0
318,B0113-23,17 Clarendon Road,Hamilton,kept,client-original,,32.320857,-64.73705,32.320857,-64.73705,0
319,B0098-23,38 Astwood Road,Paget,kept,client-original,,32.289628,-64.766077,32.289628,-64.766077,0
320,B0127-23,4 Keybay Lane,Pembroke,kept,client-original,,32.2959159,-64.8040488,32.2959159,-64.8040488,0
321,BR0185-21,34 Pitts Bay Road,Pembroke,RECOVERED,client-point,client coordinate sitting on pitts bay road,32.294439,-64.798828,32.294184,-64.795714,0.29
322,B0138-23,16 Oleander Lane,Devonshire,kept,client-original,,32.307037,-64.750682,32.307037,-64.750682,0
323,B0129-23,13 Fairways Road,Warwick,kept,client-original,,32.262776,-64.829281,32.262776,-64.829281,0
324,B0097-23,22 Scott's Hill Road,Sandys,kept,client-original,,32.298507,-64.863986,32.298507,-64.863986,0
325,B0133-23,16 Trimingham Hill,Paget,kept,client-original,,32.289313,-64.769554,32.289313,-64.769554,0
326,B0475-22,24 Burgess Point Road,Warwick,kept,client-original,,32.267049,-64.829325,32.267049,-64.829325,0
327,B0147-23,29 St. David's Road,St. George,kept,client-original,,32.367946,-64.6717864,32.367946,-64.6717864,0
328,B0107-23,191 South Road,Paget,RECOVERED,client-point,client coordinate sitting on south road,32.293578,-64.758978,32.280726,-64.776702,2.2
329,BC0034-23,18 Church Street,City of Hamilton,RECOVERED,client-point,client coordinate sitting on church street,32.29394,-64.785606,32.293985,-64.78753,0.18
330,B0182-23,14 St. Anne's Road,Southampton,kept,client-original,,32.251412,-64.842699,32.251412,-64.842699,0
331,B0128-23,10 Hexham Drive,Hamilton,kept,client-original,,32.328017,-64.705022,32.328017,-64.705022,0
332,B0175-23,10 WindReach Lane,Warwick,kept,client-original,,32.262617,-64.810158,32.262617,-64.810158,0
333,B0183-23,14 Cottage Hill Road West,Hamilton,kept,client-original,,32.341832,-64.729369,32.341832,-64.729369,0
334,B0196-23,166 Somerset Road,Sandys,RECOVERED,client-point,client coordinate sitting on somerset road,32.2806,-64.875154,32.28278,-64.873352,0.3
335,BR0085-23,5 Lighthouse Hill,St. George,kept,client-original,,32.3664948,-64.6550339,32.3664948,-64.6550339,0
336,B0193-23,11 Purvis Estate Road,Warwick,kept,client-original,,32.269216,-64.80509,32.269216,-64.80509,0
337,B0108-23,10 Paget Close,Paget,kept,client-original,,32.290828,-64.773388,32.290828,-64.773388,0
338,B0219-23,27 Melville Road,Devonshire,kept,client-original,,32.302979,-64.753965,32.302979,-64.753965,0
339,B0199-23,3 Sonesta Drive,Southampton,OSM,street,sonesta drive,32.249952,-64.833779,32.2495852,-64.8351136,0.13
340,BC0050-23,14 Wesley Street,City of Hamilton,kept,client-original,,32.294522,-64.786809,32.294522,-64.786809,0
341,BC0126-22,38 Schools Drive,Devonshire,kept,client-original,,32.303848,-64.768674,32.303848,-64.768674,0
342,B0226-23,24 Seabright Avenue,Paget,kept,client-original,,32.287813,-64.7619,32.287813,-64.7619,0
343,B0234-23,100 Harbour Road,Paget,kept,client-original,,32.287261,-64.780805,32.287261,-64.780805,0
344,B0236-23,15 Ocean Sands Road,Warwick,OSM,street,ocean sands road,32.259797,-64.811346,32.2593908,-64.8108396,0.07
345,B0244-23,5 Seabright Lane,Paget,kept,client-original,,32.288749,-64.760913,32.288749,-64.760913,0
346,B0233-23,18 Farmer's Lane,Warwick,kept,client-original,,32.265717,-64.815889,32.265717,-64.815889,0
347,B0239-23,13 Witchery Lane,Warwick,RECOVERED,client-point,client coordinate sitting on witchery lane,32.2690077,-64.7880542,32.269771,-64.798931,1.03
348,B0241-23,19 Jennings Road,Smiths,kept,client-original,,32.318315,-64.738728,32.318315,-64.738728,0
349,B0237-23,31 Harrington Sound Road,Bermuda,kept,client-original,,32.336144,-64.705058,32.336144,-64.705058,0
350,B0256-23,18 Farmer's Lane,Warwick,kept,client-original,,32.265717,-64.815889,32.265717,-64.815889,0
351,BR0092-23,11 Somerset Road,Sandys,RECOVERED,client-point,client coordinate sitting on somerset road,32.301725,-64.868145,32.28898,-64.8743,1.53
352,B0247-23,3 Kilderry Close,Smiths,kept,client-original,,32.311464,-64.745214,32.311464,-64.745214,0
353,B0172-23,9 Happy Talk Drive,Paget,OSM,street,happy talk drive,32.291840433333334,-64.7637586333333,32.2925521,-64.7578132,0.57
354,B0253-23,1 Garthowen Road,Devonshire,kept,client-original,,32.300223,-64.757002,32.300223,-64.757002,0
355,BR0114-23,10 Sunset Pass,Pembroke,kept,client-original,,32.303824,-64.800999,32.303824,-64.800999,0
356,B0259-23,2 Hidden Cove Lane,Hamilton,kept,client-original,,32.343812,-64.709815,32.343812,-64.709815,0
357,BR0108-23,19 Stowe Hill,Paget,OSM,street,stowe hill,32.289049,-64.773041,32.2879876,-64.7724496,0.13
358,B0224-23,11 Beaming Hill,Southampton,kept,client-original,,32.251342,-64.832234,32.251342,-64.832234,0
359,B0276-23,,Devonshire,REVIEW,parish-anchor,street not in OSM,0,0,32.3039374,-64.7591087,8056.13
360,B0120-23,43 Malabar Road,Sandys,kept,client-original,,32.3059488,-64.8559664,32.3059488,-64.8559664,0
361,B0275-23,6 Mill Reach Lane,Pembroke,kept,client-original,,32.299117,-64.799605,32.299117,-64.799605,0
362,BR0112-23,34 East Shore Road,Sandys,kept,client-original,,32.300961,-64.862536,32.300961,-64.862536,0
363,B0300-23,10 Halfway Lane,Smiths,kept,client-original,,32.314631,-64.722148,32.314631,-64.722148,0
364,B0289-23,11 Seabright Lane,Paget,RECOVERED,client-point,client coordinate sitting on seabright lane,32.291840433333334,-64.7637586333333,32.288622,-64.7612006,0.43
365,BR0128-23,4 Southcote Road,Paget,kept,client-original,,32.277841,-64.781579,32.277841,-64.781579,0
366,B0283-23,30 South Road,Hamilton,kept,client-original,,32.327784,-64.700041,32.327784,-64.700041,0
367,BC0072-23,94 Middle Road,Devonshire,OSM,exact,middle road,32.303726,-64.755791,32.3036953,-64.7558272,0
368,B0328-23,27 Harrington Sound Road,Hamilton,kept,client-original,,32.334999,-64.706698,32.334999,-64.706698,0
369,BR0132-23,28 Rose Hill Road,Southampton,OSM,street,rose hill road,32.261322,-64.869343,32.2615491,-64.8701001,0.08
370,B0327-23,4 Aldie Drive,Smiths,kept,client-original,,32.314128,-64.745546,32.314128,-64.745546,0
371,B0310-23,97 Harrington Sound Road,Smiths,kept,client-original,,32.324886,-64.715552,32.324886,-64.715552,0
372,B0223-23,5 Melville Crescent,Devonshire,kept,client-original,,32.299747,-64.751496,32.299747,-64.751496,0
373,B0073-23,76 Harbour Road,Warwick,RECOVERED,client-point,client coordinate sitting on harbour road,32.276969,-64.800649,32.279847,-64.79798,0.41
374,BC0131-22,14 Ferry Road,St. George,RECOVERED,client-point,client coordinate sitting on ferry road,32.368817,-64.70175,32.3665563,-64.7085898,0.69
375,B0155-23,26 Castile Road,Warwick,REVIEW,parish-anchor,street not in OSM,32.265839,-64.829075,32.2678602,-64.8053367,2.25
376,B0181-23,144 Somerset Road,Sandys,kept,client-original,,32.286008,-64.875115,32.286008,-64.875115,0
377,B0277-23,7 Inghams Drive,Pembroke,kept,client-original,,32.304996,-64.800128,32.304996,-64.800128,0
378,B0329-23,3 Tuckers Town Road,St. George,kept,client-original,,32.3342409,-64.6933298,32.3342409,-64.6933298,0
379,B0346-23,2 George's Bay Road,Sandys,OSM,near-number,georges bay road,32.268599,-64.872374,32.2689034,-64.8730081,0.07
380,B0349-23,35 Knapton Estates Road,Smiths,kept,client-original,,32.318505,-64.717106,32.318505,-64.717106,0
381,B0228-23,6 Flowercote Lane,Smiths,OSM,street,flowercote lane,32.3131214,-64.72813665,32.3183113,-64.7261038,0.61
382,B0342-23,10 Frascati Lane,Bermuda,kept,client-original,,32.321635,-64.73887,32.321635,-64.73887,0
383,B0348-23,9 Store Hill,Smiths,OSM,street,store hill,32.3175347,-64.7463399666666,32.3163615,-64.7462481,0.13
384,B0353-23,6 Bean Dale,Pembroke,OSM,street,bean dale,32.30365765,-64.8067879,32.3052488,-64.8074867,0.19
385,B0273-23,2 Deepwood Drive,Pembroke,OSM,street,deepwood drive,32.296348,-64.801174,32.2961873,-64.801126,0.02
386,B0295-23,8 Frascati Lane,Bermuda,kept,client-original,,32.32154,-64.739194,32.32154,-64.739194,0
387,B0364-23,12 Knapton Estates Road,Smiths,kept,client-original,,32.315525,-64.719527,32.315525,-64.719527,0
388,B0370-23,136 Somerset Road,Sandys,OSM,near-number,somerset road,32.288659,-64.874039,32.2846631,-64.8752028,0.46
389,B0378-23,18 Grape Bay Drive,Paget,kept,client-original,,32.283915,-64.771408,32.283915,-64.771408,0
390,B0377-23,3 Green Bay Lane,Pembroke,RECOVERED,client-point,client coordinate sitting on green bay lane,32.302134,-64.81198,32.302835,-64.812383,0.09
391,B0373-23,14 Cross Bay Road,Southampton,kept,client-original,,32.250044,-64.829252,32.250044,-64.829252,0
392,B0358-23,8 Bridge View Lane,Sandys,OSM,street,bridge view lane,32.32067298709678,-64.8407611225806,32.3037912,-64.8603385,2.63
393,B0278-23,15 Cavendish Road,Pembroke,OSM,near-number,cavendish road,32.294307,-64.774715,32.2941853,-64.7736257,0.1
394,B0380-23,17 Point Finger Road,Paget,kept,client-original,,32.290884,-64.76554,32.290884,-64.76554,0
395,B0381-23,29 Berry Hill Road,Paget,OSM,street,berry hill road,32.294235,-64.765527,32.2940416,-64.7640316,0.14
396,B0290-23,11 Kelland Circle,Warwick,OSM,street,kelland circle,32.273333,-64.806729,32.2704937,-64.7926894,1.36
397,B0020-23,3 Tween Walls,Sandys,kept,client-original,,32.304535,-64.867865,32.304535,-64.867865,0
398,B0314-23,7 Salt House Lane,Smiths,OSM,street,salt house lane,32.319315,-64.723982,32.3193636,-64.7234988,0.05
399,B0394-23,9 Farmstead Lane Unit: A,Sandys,kept,client-original,,32.2726262,-64.8766786,32.2726262,-64.8766786,0
400,B0321-23,6 Mill Reach Lane,Pembroke,kept,client-original,,32.299117,-64.799605,32.299117,-64.799605,0
401,B0344-23,1 Bluebird Lane,Sandys,kept,client-original,,32.279571,-64.874619,32.279571,-64.874619,0
402,B0357-23,4 Glebe Hill,Hamilton,kept,client-original,,32.333267,-64.70207,32.333267,-64.70207,0
403,BR0169-23,1 Marshall Island,Warwick,REVIEW,parish-anchor,street not in OSM,32.269346975,-64.807804025,32.2678602,-64.8053367,0.29
404,B0306-23,48 Happy Valley Road,Pembroke,kept,client-original,,32.297571,-64.772474,32.297571,-64.772474,0
405,B0350-23,4 Third Avenue,Warwick,kept,client-original,,32.259293,-64.813778,32.259293,-64.813778,0
406,B0405-23,13 Devondale Drive,Devonshire,kept,client-original,,32.295862,-64.751285,32.295862,-64.751285,0
407,B0406-23,131 Middle Road,Southampton,kept,client-original,,32.254156,-64.845994,32.254156,-64.845994,0
408,B0308-23,10 Chapel Lane,Paget,kept,client-original,,32.281384,-64.783375,32.281384,-64.783375,0
409,B0230-23,76 North Shore Road,Hamilton,kept,client-original,,32.333792,-64.737172,32.333792,-64.737172,0
410,B0307-23,18 Ord Road,Warwick,RECOVERED,client-point,client coordinate sitting on ord road,32.269771,-64.798931,32.271113,-64.799826,0.17
411,B0343-23,3 Rocky Ridge Road,Smiths,kept,client-original,,32.325582,-64.714805,32.325582,-64.714805,0
412,B0225-23,10 Hidden Cove Lane,Hamilton,kept,client-original,,32.344422,-64.70948,32.344422,-64.70948,0
413,B0311-23,13 Grape Bay Drive,Paget,OSM,street,grape bay drive,32.285071,-64.771347,32.2836747,-64.7709035,0.16
414,B0322-23,6 Mill Reach Lane,Pembroke,kept,client-original,,32.299117,-64.799605,32.299117,-64.799605,0
415,B0374-23,5 Desilva Drive,Warwick,OSM,street,desilva drive,32.269334,-64.792456,32.2692295,-64.7922798,0.02
416,B0345-23,4 Bellevue Lane,Paget,kept,client-original,,32.284535,-64.767473,32.284535,-64.767473,0
417,BR0009-23,1 Green View Lane,Smiths,kept,client-original,,32.306914,-64.737264,32.306914,-64.737264,0
418,B0437-23,11 Jennings Bay Road,Southampton,kept,client-original,,32.258053,-64.864192,32.258053,-64.864192,0
419,B0347-23,29 Harrington Hundreds Road,Smiths,kept,client-original,,32.317249,-64.72373,32.317249,-64.72373,0
420,B0354-23,68 North Shore Road,Pembroke,OSM,near-number,north shore road,32.304807,-64.791546,32.3050604,-64.7911956,0.04
421,B0356-23,4 Rose Glen,Warwick,kept,client-original,,32.273458,-64.805023,32.273458,-64.805023,0
422,B0355-23,91 Harrington Sound Road,Smiths,kept,client-original,,32.324435,-64.715038,32.324435,-64.715038,0
423,B0431-23,8 Holly Lane,Smiths,OSM,street,holly lane,32.319887,-64.739033,32.320226,-64.7395011,0.06
424,BR0161-23,15 Middle Road,Paget,OSM,near-number,middle road,32.280359,-64.791405,32.2796943,-64.78902,0.24
425,B0429-23,8 Tablerock Avenue,Pembroke,RECOVERED,client-point,client coordinate sitting on tablerock avenue,32.30409,-64.798245,32.303055,-64.797524,0.13
426,B0427-23,13 Shaw Wood Road,Pembroke,kept,client-original,,32.30306,-64.810748,32.30306,-64.810748,0
427,B0428-23,11 Agar's Island,Pembroke,REVIEW,parish-anchor,street not in OSM,32.29370414931507,-64.8038436136986,32.3008022,-64.7915912,1.4
428,B0447-23,4 Windcrest Drive,Paget,kept,client-original,,32.289752,-64.768415,32.289752,-64.768415,0
429,B0446-23,13 Elliott Street West,City of Hamilton,OSM,exact,elliott street west,32.2971141,-64.7849691,32.2971204,-64.7849699,0
430,B0456-23,25 St. Mark's Road,Smiths,OSM,street,street marks road,32.313969,-64.734886,32.3126921,-64.7366104,0.22
431,B0454-23,6 Skyline Road,Smiths,kept,client-original,,32.318858,-64.719943,32.318858,-64.719943,0
432,B0459-23,8 Summit View Drive,Hamilton,kept,client-original,,32.346062,-64.725114,32.346062,-64.725114,0
433,B0460-23,6 Rosemont Avenue,Pembroke,RECOVERED,client-point,client coordinate sitting on rosemont avenue,32.296967,-64.79383,32.291726,-64.791811,0.61
434,B0464-23,5 Pampas Lane,Smiths,OSM,street,pampas lane,32.305303,-64.737992,32.3042233,-64.738753,0.14
435,B0462-23,5 Acacia Lane,Sandys,kept,client-original,,32.303209,-64.869886,32.303209,-64.869886,0
436,BC0097-23,117 Middle Road,Warwick,kept,client-original,,32.275921,-64.794246,32.275921,-64.794246,0
437,B0471-23,18 St. Anne's Road,Southampton,kept,client-original,,32.251447,-64.841925,32.251447,-64.841925,0
438,BR0162-23,66 Sound View Road,Sandys,kept,client-original,,32.294539,-64.869691,32.294539,-64.869691,0
439,B0470-23,39 Orchard Grove,Pembroke,kept,client-original,,32.304322,-64.775162,32.304322,-64.775162,0
440,BC0135-23,1 Middle Road,Sandys,OSM,exact,middle road,32.2782539,-64.876743,32.2782539,-64.876743,0
441,B0492-23,7A South Road,Hamilton,kept,client-original,,32.32589,-64.705543,32.32589,-64.705543,0
442,B0496-23,53 St. David's Road,St. George,kept,client-original,,32.3653612,-64.6640368,32.3653612,-64.6640368,0
443,B0312-23,7 Plaice's Point Road,Pembroke,OSM,street,plaices point road,32.304396,-64.815577,32.3043467,-64.8160778,0.05
444,B0472-23,7 Whitney Avenue West,Pembroke,kept,client-original,,32.304553,-64.788941,32.304553,-64.788941,0
445,B0490-23,19 Beacon Hill Road,Sandys,OSM,near-number,beacon hill road,32.301666,-64.866106,32.300753,-64.867409,0.16
446,B0469-23,14 Southlyn Lane,Paget,kept,client-original,,32.280503,-64.778193,32.280503,-64.778193,0
447,B0499-23,1 Seabright Lane,Paget,kept,client-original,,32.288662,-64.761375,32.288662,-64.761375,0
448,B0484-23,21 Rocky Bay Lane,Devonshire,RECOVERED,client-point,client coordinate sitting on rocky bay lane,32.304179,-64.752882,32.3002368,-64.74604,0.78
449,B0486-23,21 Shore Hills Lane,St. George,kept,client-original,,32.371458,-64.695616,32.371458,-64.695616,0
450,B0507-23,3 Scenic Heights Pass,Southampton,kept,client-original,,32.258806,-64.823321,32.258806,-64.823321,0
451,BR0215-23,4 Tribe Road No 1,Paget,kept,client-original,,32.289669,-64.762245,32.289669,-64.762245,0
452,B0500-23,33 Melville Road,Devonshire,OSM,street,melville road,32.303834,-64.753626,32.3022975,-64.7524478,0.2
453,B0511-23,15 Grasmere Road,Pembroke,kept,client-original,,32.30067,-64.808714,32.30067,-64.808714,0
454,BR0232-23,6 Manderley Mews,Warwick,RECOVERED,client-point,client coordinate sitting on manderley mews,32.321056,-64.727167,32.264353,-64.819995,10.78
455,B0481-23,41 Pitts Bay Road,Pembroke,OSM,street-anchored,pitts bay road,32.263911,-64.819931,32.2918389,-64.7948361,3.9
456,B0509-23,37 South Road,Smiths,RECOVERED,client-point,client coordinate sitting on south road,32.294184,-64.795714,32.3131214,-64.72813665,6.7
457,B0495-23,17 Rocky Ridge Road,Smiths,RECOVERED,client-point,client coordinate sitting on rocky ridge road,32.30992,-64.735451,32.325474,-64.715429,2.56
