row,no,addr,district,action,conf,via,why,oldLat,oldLng,newLat,newLng,movedKm
244,B0447-22,49 Paynters Hill,Hamilton,kept,,,,32.3375,-64.70222,32.3375,-64.70222,
245,B0446-22,24 Narrows Lane,St. George,kept,,,,32.369447,-64.664483,32.369447,-64.664483,
246,B0462-22,28 Southcourt Avenue,Paget,kept,,,,32.287374,-64.764142,32.287374,-64.764142,
247,B0466-22,10 Rockywold Road,Sandys,kept,,,,32.268524,-64.879506,32.268524,-64.879506,
248,B0459-22,15 Gilbert Hill,Smiths,kept,,,,32.310215,-64.73868,32.310215,-64.73868,
249,B0500-22,27 Cherry Hill Park,Paget,kept,,,,32.277398,-64.78452,32.277398,-64.78452,
250,B0494-22,38 Clarendon Road,Bermuda,kept,,,,32.320337,-64.738059,32.320337,-64.738059,
251,B0481-22,6 Bay View Drive,Southampton,kept,,,,32.253871,-64.849624,32.253871,-64.849624,
252,B0496-22,8 Inghams Drive,Pembroke,kept,,,,32.304897,-64.800542,32.304897,-64.800542,
253,B0485-22,8 Scarrington Hill,Paget,kept,,,,32.279714,-64.786672,32.279714,-64.786672,
254,BR0213-22,7 Mill Shares Road,Pembroke,kept,,,,32.296819,-64.80178,32.296819,-64.80178,
255,BREV0403-22,8 Holly Lane,Smiths,kept,,,,32.319887,-64.739033,32.319887,-64.739033,
256,BC0052-22,37 Richmond Road,Devonshire,REVIEW,parish-anchor,centre of Devonshire road network,street not found in OSM — NEEDS REVIEW,32.2942516,-64.7880402,32.3039374,-64.7591087,2.93
257,BR0229-22,10 Bluebird Lane,Sandys,kept,,,,32.279783,-64.873973,32.279783,-64.873973,
258,B0514-22,4 St. Anne's Close,Southampton,kept,,,,32.249996,-64.843622,32.249996,-64.843622,
259,B0519-22,2 Second Avenue,Pembroke,kept,,,,32.295074,-64.775279,32.295074,-64.775279,
260,B0524-22,6 Watch Hill Lane,Warwick,kept,,,,32.265783,-64.814065,32.265783,-64.814065,
261,BR0238-22,7 Fairways Road,Warwick,kept,,,,32.264251,-64.826365,32.264251,-64.826365,
262,B0490-22,23 Rebecca Road,Southampton,kept,,,,32.258812,-64.831001,32.258812,-64.831001,
263,BREV0426-22,31 Tamarind Vale,Warwick,kept,,,,32.26958,-64.813951,32.26958,-64.813951,
264,B0492-22,82 South Road Unit: A,Warwick,kept,,,,32.2689,-64.788678,32.2689,-64.788678,
265,B0513-22,1 Two Way Mews,Pembroke,kept,,,,32.298826,-64.778847,32.298826,-64.778847,
266,B0512-22,2 Old Slip Lane,Pembroke,kept,,,,32.292373,-64.795747,32.292373,-64.795747,
267,B0486-22,28 Knapton Hill,Smiths,kept,,,,32.31643,-64.720511,32.31643,-64.720511,
268,B0534-22,12 Somers Hill Road,Hamilton,kept,,,,32.328064,-64.739177,32.328064,-64.739177,
269,B0489-22,12 Southcote Road,Paget,kept,,,,32.277112,-64.781423,32.277112,-64.781423,
270,B0531-22,15 Beaming Hill,Southampton,kept,,,,32.250896,-64.83238,32.250896,-64.83238,
271,B0027-22,37 Somerset Road,Sandys,kept,,,,32.299632,-64.870749,32.299632,-64.870749,
272,B0506-22,16 Tamarind Vale,Warwick,kept,,,,32.269127,-64.812874,32.269127,-64.812874,
273,B0545-22,5 Oceanside Road,Southampton,kept,,,,32.251013,-64.865177,32.251013,-64.865177,
274,B0026-22,66 Middle Road,Warwick,kept,,,,32.266766,-64.8088,32.266766,-64.8088,
275,B0567-22,1 Undina Watch,Southampton,kept,,,,32.25180835555556,-64.8333210666666,32.25180835555556,-64.8333210666666,
276,B0549-22,9 Middle Road,Warwick,kept,,,,32.263627,-64.818196,32.263627,-64.818196,
277,B0488-22,25 Peace Haven Drive,Sandys,kept,,,,32.275104,-64.873684,32.275104,-64.873684,
278,B0396-22,62 Ord Road,Paget,kept,,,,32.279288,-64.781306,32.279288,-64.781306,
279,B0491-22,16 Riddell's Bay Road,Warwick,kept,,,,32.264353,-64.819995,32.264353,-64.819995,
280,BC0129-22,65 The Glebe Road,Pembroke,kept,,,,32.305787,-64.776371,32.305787,-64.776371,
281,B0557-22,6 Idle Acres Road,Smiths,kept,,,,32.314736,-64.72709,32.314736,-64.72709,
282,B0482-22,14 Riddell's Bay Road,Warwick,kept,,,,32.263703,-64.820292,32.263703,-64.820292,
283,B0366-22,19 Harrington Hundreds Road,Smiths,kept,,,,32.318016,-64.724186,32.318016,-64.724186,
284,B0364-22,15 Rocky Ridge Road,Smiths,kept,,,,32.326712,-64.715055,32.326712,-64.715055,
285,B0581-22,44 West Side Road,Sandys,kept,,,,32.296346,-64.87516,32.296346,-64.87516,
286,BR0237-22,1 Governors Alley,Town of St. George,kept,,,,32.382913,-64.6770893,32.382913,-64.6770893,
287,BC0108-22,26 Palmetto Road,Devonshire,kept,,,,32.308132,-64.763581,32.308132,-64.763581,
288,BC0118-22,34 College Road,Paget,kept,,,,32.277493,-64.774458,32.277493,-64.774458,
289,B0016-23,8 Lolly's Lane,Smiths,kept,,,,32.320695,-64.728839,32.320695,-64.728839,
290,BC0002-23,2 Ferry Road,St. George,kept,,,,32.374781,-64.696942,32.374781,-64.696942,
291,B0013-23,16 Fairways Road,Warwick,kept,,,,32.262642,-64.830564,32.262642,-64.830564,
292,BREV0002-23,62 Ord Road,Paget,kept,,,,32.279288,-64.781306,32.279288,-64.781306,
293,B0006-23,6 Point Shares Road,Pembroke,kept,,,,32.2953502,-64.8027044,32.2953502,-64.8027044,
294,B0033-23,54 Mill Shares Road,Pembroke,kept,,,,32.29799,-64.806348,32.29799,-64.806348,
295,B0004-23,2 South Road,Bermuda,kept,,,,32.331277,-64.6996152,32.331277,-64.6996152,
296,B0002-23,4 Hilton Drive,Paget,kept,,,,32.276478,-64.782386,32.276478,-64.782386,
297,B0011-23,80 North Shore Road Unit: A,Pembroke,kept,,,,32.304914,-64.789226,32.304914,-64.789226,
298,B0014-23,20 Burgess Point Road,Warwick,kept,,,,32.267103,-64.828649,32.267103,-64.828649,
299,B0059-23,13 Lolly's Lane,Smiths,kept,,,,32.320614,-64.728385,32.320614,-64.728385,
300,B0058-23,80 Harbour Road,Warwick,RELOCATED,near-number,#89 harbour road,>0.3km from harbour road,32.277411,-64.799762,32.2808345,-64.7962048,0.51
301,B0208-22,10 Devon Point Lane,Devonshire,kept,,,,32.300133,-64.743776,32.300133,-64.743776,
302,B0012-23,22 Narrows Lane,St. George,kept,,,,32.369247,-64.66457,32.369247,-64.66457,
303,B0068-23,,Southampton,REVIEW,parish-anchor,centre of Southampton road network,street not found in OSM — NEEDS REVIEW,,,32.2544361,-64.8439449,
304,B0064-23,8 Agar's Hill,Pembroke,kept,,,,32.2944,-64.805,32.2944,-64.805,
305,B0030-23,22 Mission Crescent,Paget,kept,,,,32.277893,-64.772558,32.277893,-64.772558,
306,B0066-23,15 Pinetree Lane Unit: A,Sandys,kept,,,,32.3008855,-64.864057,32.3008855,-64.864057,
307,B0069-23,34 Mill Shares Road,Pembroke,kept,,,,32.298994,-64.804708,32.298994,-64.804708,
308,BR0027-23,61 Harbour Road,Paget,kept,,,,32.286387,-64.782047,32.286387,-64.782047,
309,BC0130-22,24 Rosemont Avenue,Pembroke,kept,,,,32.294916,-64.793056,32.294916,-64.793056,
310,B0080-23,2 Bloomfield Drive,Warwick,kept,,,,32.263842,-64.821897,32.263842,-64.821897,
311,B0478-22,15 Point Shares Road,Pembroke,kept,,,,32.2942895,-64.8035103,32.2942895,-64.8035103,
312,B0045-23,8 Tousvent Lane,Warwick,kept,,,,32.275466,-64.792692,32.275466,-64.792692,
313,B0499-22,3 Windy Bank,Smiths,kept,,,,32.314349,-64.742889,32.314349,-64.742889,
314,B0089-23,5 Cann Drive,Sandys,kept,,,,32.293971,-64.87229,32.293971,-64.87229,
315,B0083-23,11 Manse Road,Paget,kept,,,,32.281129,-64.789129,32.281129,-64.789129,
316,B0046-23,52 Ord Road,Paget,kept,,,,32.278589,-64.781118,32.278589,-64.781118,
317,B0105-23,102 Cobbs Hill Road,Warwick,kept,,,,32.270143,-64.787835,32.270143,-64.787835,
318,B0113-23,17 Clarendon Road,Hamilton,kept,,,,32.320857,-64.73705,32.320857,-64.73705,
319,B0098-23,38 Astwood Road,Paget,kept,,,,32.289628,-64.766077,32.289628,-64.766077,
320,B0127-23,4 Keybay Lane,Pembroke,kept,,,,32.2959159,-64.8040488,32.2959159,-64.8040488,
321,BR0185-21,34 Pitts Bay Road,Pembroke,kept,,,,32.294439,-64.798828,32.294439,-64.798828,
322,B0138-23,16 Oleander Lane,Devonshire,kept,,,,32.307037,-64.750682,32.307037,-64.750682,
323,B0129-23,13 Fairways Road,Warwick,kept,,,,32.262776,-64.829281,32.262776,-64.829281,
324,B0097-23,22 Scott's Hill Road,Sandys,kept,,,,32.298507,-64.863986,32.298507,-64.863986,
325,B0133-23,16 Trimingham Hill,Paget,kept,,,,32.289313,-64.769554,32.289313,-64.769554,
326,B0475-22,24 Burgess Point Road,Warwick,kept,,,,32.267049,-64.829325,32.267049,-64.829325,
327,B0147-23,29 St. David's Road,St. George,kept,,,,32.367946,-64.6717864,32.367946,-64.6717864,
328,B0107-23,191 South Road,Paget,kept,,,,32.293578,-64.758978,32.293578,-64.758978,
329,BC0034-23,18 Church Street,City of Hamilton,kept,,,,32.29394,-64.785606,32.29394,-64.785606,
330,B0182-23,14 St. Anne's Road,Southampton,kept,,,,32.251412,-64.842699,32.251412,-64.842699,
331,B0128-23,10 Hexham Drive,Hamilton,kept,,,,32.328017,-64.705022,32.328017,-64.705022,
332,B0175-23,10 WindReach Lane,Warwick,kept,,,,32.262617,-64.810158,32.262617,-64.810158,
333,B0183-23,14 Cottage Hill Road West,Hamilton,kept,,,,32.341832,-64.729369,32.341832,-64.729369,
334,B0196-23,166 Somerset Road,Sandys,kept,,,,32.2806,-64.875154,32.2806,-64.875154,
335,BR0085-23,5 Lighthouse Hill,St. George,kept,,,,32.3664948,-64.6550339,32.3664948,-64.6550339,
336,B0193-23,11 Purvis Estate Road,Warwick,kept,,,,32.269216,-64.80509,32.269216,-64.80509,
337,B0108-23,10 Paget Close,Paget,kept,,,,32.290828,-64.773388,32.290828,-64.773388,
338,B0219-23,27 Melville Road,Devonshire,kept,,,,32.302979,-64.753965,32.302979,-64.753965,
339,B0199-23,3 Sonesta Drive,Southampton,kept,,,,32.249952,-64.833779,32.249952,-64.833779,
340,BC0050-23,14 Wesley Street,City of Hamilton,kept,,,,32.294522,-64.786809,32.294522,-64.786809,
341,BC0126-22,38 Schools Drive,Devonshire,kept,,,,32.303848,-64.768674,32.303848,-64.768674,
342,B0226-23,24 Seabright Avenue,Paget,kept,,,,32.287813,-64.7619,32.287813,-64.7619,
343,B0234-23,100 Harbour Road,Paget,kept,,,,32.287261,-64.780805,32.287261,-64.780805,
344,B0236-23,15 Ocean Sands Road,Warwick,kept,,,,32.259797,-64.811346,32.259797,-64.811346,
345,B0244-23,5 Seabright Lane,Paget,kept,,,,32.288749,-64.760913,32.288749,-64.760913,
346,B0233-23,18 Farmer's Lane,Warwick,kept,,,,32.265717,-64.815889,32.265717,-64.815889,
347,B0239-23,13 Witchery Lane,Warwick,kept,,,,32.2690077,-64.7880542,32.2690077,-64.7880542,
348,B0241-23,19 Jennings Road,Smiths,kept,,,,32.318315,-64.738728,32.318315,-64.738728,
349,B0237-23,31 Harrington Sound Road,Bermuda,RELOCATED,near-number,#23 harrington sound road,>0.3km from harrington sound road,32.336144,-64.705058,32.3222735,-64.7286219,2.7
350,B0256-23,18 Farmer's Lane,Warwick,kept,,,,32.265717,-64.815889,32.265717,-64.815889,
351,BR0092-23,11 Somerset Road,Sandys,kept,,,,32.301725,-64.868145,32.301725,-64.868145,
352,B0247-23,3 Kilderry Close,Smiths,kept,,,,32.311464,-64.745214,32.311464,-64.745214,
353,B0172-23,9 Happy Talk Drive,Paget,kept,,,,32.291840433333334,-64.7637586333333,32.291840433333334,-64.7637586333333,
354,B0253-23,1 Garthowen Road,Devonshire,kept,,,,32.300223,-64.757002,32.300223,-64.757002,
355,BR0114-23,10 Sunset Pass,Pembroke,kept,,,,32.303824,-64.800999,32.303824,-64.800999,
356,B0259-23,2 Hidden Cove Lane,Hamilton,kept,,,,32.343812,-64.709815,32.343812,-64.709815,
357,BR0108-23,19 Stowe Hill,Paget,kept,,,,32.289049,-64.773041,32.289049,-64.773041,
358,B0224-23,11 Beaming Hill,Southampton,kept,,,,32.251342,-64.832234,32.251342,-64.832234,
359,B0276-23,,Devonshire,REVIEW,parish-anchor,centre of Devonshire road network,street not found in OSM — NEEDS REVIEW,,,32.3039374,-64.7591087,
360,B0120-23,43 Malabar Road,Sandys,kept,,,,32.3059488,-64.8559664,32.3059488,-64.8559664,
361,B0275-23,6 Mill Reach Lane,Pembroke,kept,,,,32.299117,-64.799605,32.299117,-64.799605,
362,BR0112-23,34 East Shore Road,Sandys,kept,,,,32.300961,-64.862536,32.300961,-64.862536,
363,B0300-23,10 Halfway Lane,Smiths,kept,,,,32.314631,-64.722148,32.314631,-64.722148,
364,B0289-23,11 Seabright Lane,Paget,kept,,,,32.291840433333334,-64.7637586333333,32.291840433333334,-64.7637586333333,
365,BR0128-23,4 Southcote Road,Paget,kept,,,,32.277841,-64.781579,32.277841,-64.781579,
366,B0283-23,30 South Road,Hamilton,kept,,,,32.327784,-64.700041,32.327784,-64.700041,
367,BC0072-23,94 Middle Road,Devonshire,kept,,,,32.303726,-64.755791,32.303726,-64.755791,
368,B0328-23,27 Harrington Sound Road,Hamilton,RELOCATED,near-number,#19 harrington sound road,>0.3km from harrington sound road,32.334999,-64.706698,32.3315121,-64.7112575,0.58
369,BR0132-23,28 Rose Hill Road,Southampton,kept,,,,32.261322,-64.869343,32.261322,-64.869343,
370,B0327-23,4 Aldie Drive,Smiths,kept,,,,32.314128,-64.745546,32.314128,-64.745546,
371,B0310-23,97 Harrington Sound Road,Smiths,RELOCATED,near-number,#92 harrington sound road,>0.3km from harrington sound road,32.324886,-64.715552,32.3209063,-64.7153341,0.44
372,B0223-23,5 Melville Crescent,Devonshire,kept,,,,32.299747,-64.751496,32.299747,-64.751496,
373,B0073-23,76 Harbour Road,Warwick,kept,,,,32.276969,-64.800649,32.276969,-64.800649,
374,BC0131-22,14 Ferry Road,St. George,RELOCATED,near-number,#13 ferry road,>0.3km from ferry road,32.368817,-64.70175,32.3733407,-64.6977803,0.63
375,B0155-23,26 Castile Road,Warwick,kept,,,,32.265839,-64.829075,32.265839,-64.829075,
376,B0181-23,144 Somerset Road,Sandys,kept,,,,32.286008,-64.875115,32.286008,-64.875115,
377,B0277-23,7 Inghams Drive,Pembroke,kept,,,,32.304996,-64.800128,32.304996,-64.800128,
378,B0329-23,3 Tuckers Town Road,St. George,kept,,,,32.3342409,-64.6933298,32.3342409,-64.6933298,
379,B0346-23,2 George's Bay Road,Sandys,kept,,,,32.268599,-64.872374,32.268599,-64.872374,
380,B0349-23,35 Knapton Estates Road,Smiths,kept,,,,32.318505,-64.717106,32.318505,-64.717106,
381,B0228-23,6 Flowercote Lane,Smiths,kept,,,,32.3131214,-64.72813665,32.3131214,-64.72813665,
382,B0342-23,10 Frascati Lane,Bermuda,kept,,,,32.321635,-64.73887,32.321635,-64.73887,
383,B0348-23,9 Store Hill,Smiths,kept,,,,32.3175347,-64.7463399666666,32.3175347,-64.7463399666666,
384,B0353-23,6 Bean Dale,Pembroke,kept,,,,32.30365765,-64.8067879,32.30365765,-64.8067879,
385,B0273-23,2 Deepwood Drive,Pembroke,kept,,,,32.296348,-64.801174,32.296348,-64.801174,
386,B0295-23,8 Frascati Lane,Bermuda,kept,,,,32.32154,-64.739194,32.32154,-64.739194,
387,B0364-23,12 Knapton Estates Road,Smiths,kept,,,,32.315525,-64.719527,32.315525,-64.719527,
388,B0370-23,136 Somerset Road,Sandys,RELOCATED,near-number,#146 somerset road,>0.3km from somerset road,32.288659,-64.874039,32.2846631,-64.8752028,0.46
389,B0378-23,18 Grape Bay Drive,Paget,kept,,,,32.283915,-64.771408,32.283915,-64.771408,
390,B0377-23,3 Green Bay Lane,Pembroke,kept,,,,32.302134,-64.81198,32.302134,-64.81198,
391,B0373-23,14 Cross Bay Road,Southampton,kept,,,,32.250044,-64.829252,32.250044,-64.829252,
392,B0358-23,8 Bridge View Lane,Sandys,RELOCATED,street,bridge view lane (8 pts in parish),>1.2km from bridge view lane,32.32067298709678,-64.8407611225806,32.3037912,-64.8603385,2.63
393,B0278-23,15 Cavendish Road,Pembroke,kept,,,,32.294307,-64.774715,32.294307,-64.774715,
394,B0380-23,17 Point Finger Road,Paget,kept,,,,32.290884,-64.76554,32.290884,-64.76554,
395,B0381-23,29 Berry Hill Road,Paget,kept,,,,32.294235,-64.765527,32.294235,-64.765527,
396,B0290-23,11 Kelland Circle,Warwick,RELOCATED,street,kelland circle (23 pts in parish),>1.2km from kelland circle,32.273333,-64.806729,32.2704937,-64.7926894,1.36
397,B0020-23,3 Tween Walls,Sandys,kept,,,,32.304535,-64.867865,32.304535,-64.867865,
398,B0314-23,7 Salt House Lane,Smiths,kept,,,,32.319315,-64.723982,32.319315,-64.723982,
399,B0394-23,9 Farmstead Lane Unit: A,Sandys,kept,,,,32.2726262,-64.8766786,32.2726262,-64.8766786,
400,B0321-23,6 Mill Reach Lane,Pembroke,kept,,,,32.299117,-64.799605,32.299117,-64.799605,
401,B0344-23,1 Bluebird Lane,Sandys,kept,,,,32.279571,-64.874619,32.279571,-64.874619,
402,B0357-23,4 Glebe Hill,Hamilton,kept,,,,32.333267,-64.70207,32.333267,-64.70207,
403,BR0169-23,1 Marshall Island,Warwick,kept,,,,32.269346975,-64.807804025,32.269346975,-64.807804025,
404,B0306-23,48 Happy Valley Road,Pembroke,kept,,,,32.297571,-64.772474,32.297571,-64.772474,
405,B0350-23,4 Third Avenue,Warwick,kept,,,,32.259293,-64.813778,32.259293,-64.813778,
406,B0405-23,13 Devondale Drive,Devonshire,kept,,,,32.295862,-64.751285,32.295862,-64.751285,
407,B0406-23,131 Middle Road,Southampton,kept,,,,32.254156,-64.845994,32.254156,-64.845994,
408,B0308-23,10 Chapel Lane,Paget,kept,,,,32.281384,-64.783375,32.281384,-64.783375,
409,B0230-23,76 North Shore Road,Hamilton,kept,,,,32.333792,-64.737172,32.333792,-64.737172,
410,B0307-23,18 Ord Road,Warwick,kept,,,,32.269771,-64.798931,32.269771,-64.798931,
411,B0343-23,3 Rocky Ridge Road,Smiths,kept,,,,32.325582,-64.714805,32.325582,-64.714805,
412,B0225-23,10 Hidden Cove Lane,Hamilton,kept,,,,32.344422,-64.70948,32.344422,-64.70948,
413,B0311-23,13 Grape Bay Drive,Paget,kept,,,,32.285071,-64.771347,32.285071,-64.771347,
414,B0322-23,6 Mill Reach Lane,Pembroke,kept,,,,32.299117,-64.799605,32.299117,-64.799605,
415,B0374-23,5 Desilva Drive,Warwick,kept,,,,32.269334,-64.792456,32.269334,-64.792456,
416,B0345-23,4 Bellevue Lane,Paget,kept,,,,32.284535,-64.767473,32.284535,-64.767473,
417,BR0009-23,1 Green View Lane,Smiths,kept,,,,32.306914,-64.737264,32.306914,-64.737264,
418,B0437-23,11 Jennings Bay Road,Southampton,kept,,,,32.258053,-64.864192,32.258053,-64.864192,
419,B0347-23,29 Harrington Hundreds Road,Smiths,kept,,,,32.317249,-64.72373,32.317249,-64.72373,
420,B0354-23,68 North Shore Road,Pembroke,kept,,,,32.304807,-64.791546,32.304807,-64.791546,
421,B0356-23,4 Rose Glen,Warwick,kept,,,,32.273458,-64.805023,32.273458,-64.805023,
422,B0355-23,91 Harrington Sound Road,Smiths,RELOCATED,near-number,#92 harrington sound road,>0.3km from harrington sound road,32.324435,-64.715038,32.3209063,-64.7153341,0.39
423,B0431-23,8 Holly Lane,Smiths,kept,,,,32.319887,-64.739033,32.319887,-64.739033,
424,BR0161-23,15 Middle Road,Paget,kept,,,,32.280359,-64.791405,32.280359,-64.791405,
425,B0429-23,8 Tablerock Avenue,Pembroke,kept,,,,32.30409,-64.798245,32.30409,-64.798245,
426,B0427-23,13 Shaw Wood Road,Pembroke,kept,,,,32.30306,-64.810748,32.30306,-64.810748,
427,B0428-23,11 Agar's Island,Pembroke,kept,,,,32.29370414931507,-64.8038436136986,32.29370414931507,-64.8038436136986,
428,B0447-23,4 Windcrest Drive,Paget,kept,,,,32.289752,-64.768415,32.289752,-64.768415,
429,B0446-23,13 Elliott Street West,City of Hamilton,kept,,,,32.2971141,-64.7849691,32.2971141,-64.7849691,
430,B0456-23,25 St. Mark's Road,Smiths,kept,,,,32.313969,-64.734886,32.313969,-64.734886,
431,B0454-23,6 Skyline Road,Smiths,kept,,,,32.318858,-64.719943,32.318858,-64.719943,
432,B0459-23,8 Summit View Drive,Hamilton,kept,,,,32.346062,-64.725114,32.346062,-64.725114,
433,B0460-23,6 Rosemont Avenue,Pembroke,kept,,,,32.296967,-64.79383,32.296967,-64.79383,
434,B0464-23,5 Pampas Lane,Smiths,kept,,,,32.305303,-64.737992,32.305303,-64.737992,
435,B0462-23,5 Acacia Lane,Sandys,kept,,,,32.303209,-64.869886,32.303209,-64.869886,
436,BC0097-23,117 Middle Road,Warwick,kept,,,,32.275921,-64.794246,32.275921,-64.794246,
437,B0471-23,18 St. Anne's Road,Southampton,kept,,,,32.251447,-64.841925,32.251447,-64.841925,
438,BR0162-23,66 Sound View Road,Sandys,RELOCATED,near-number,#75 sound view road,>0.3km from sound view road,32.294539,-64.869691,32.2927803,-64.872825,0.35
439,B0470-23,39 Orchard Grove,Pembroke,kept,,,,32.304322,-64.775162,32.304322,-64.775162,
440,BC0135-23,1 Middle Road,Sandys,kept,,,,32.2782539,-64.876743,32.2782539,-64.876743,
441,B0492-23,7A South Road,Hamilton,kept,,,,32.32589,-64.705543,32.32589,-64.705543,
442,B0496-23,53 St. David's Road,St. George,kept,,,,32.3653612,-64.6640368,32.3653612,-64.6640368,
443,B0312-23,7 Plaice's Point Road,Pembroke,kept,,,,32.304396,-64.815577,32.304396,-64.815577,
444,B0472-23,7 Whitney Avenue West,Pembroke,kept,,,,32.304553,-64.788941,32.304553,-64.788941,
445,B0490-23,19 Beacon Hill Road,Sandys,kept,,,,32.301666,-64.866106,32.301666,-64.866106,
446,B0469-23,14 Southlyn Lane,Paget,kept,,,,32.280503,-64.778193,32.280503,-64.778193,
447,B0499-23,1 Seabright Lane,Paget,kept,,,,32.288662,-64.761375,32.288662,-64.761375,
448,B0484-23,21 Rocky Bay Lane,Devonshire,kept,,,,32.304179,-64.752882,32.304179,-64.752882,
449,B0486-23,21 Shore Hills Lane,St. George,kept,,,,32.371458,-64.695616,32.371458,-64.695616,
450,B0507-23,3 Scenic Heights Pass,Southampton,kept,,,,32.258806,-64.823321,32.258806,-64.823321,
451,BR0215-23,4 Tribe Road No 1,Paget,kept,,,,32.289669,-64.762245,32.289669,-64.762245,
452,B0500-23,33 Melville Road,Devonshire,kept,,,,32.303834,-64.753626,32.303834,-64.753626,
453,B0511-23,15 Grasmere Road,Pembroke,kept,,,,32.30067,-64.808714,32.30067,-64.808714,
454,BR0232-23,6 Manderley Mews,Warwick,RELOCATED,street,manderley mews (10 pts in parish),wrong parish,32.321056,-64.727167,32.2640995,-64.8197959,10.78
455,B0481-23,41 Pitts Bay Road,Pembroke,RELOCATED,street-anchored,#54 pitts bay road,wrong parish,32.263911,-64.819931,32.2918389,-64.7948361,3.9
456,B0509-23,37 South Road,Smiths,RELOCATED,street-anchored,#51 south road,wrong parish,32.294184,-64.795714,32.312149,-64.7327815,6.25
457,B0495-23,17 Rocky Ridge Road,Smiths,RELOCATED,street,rocky ridge road (14 pts in parish),>1.2km from rocky ridge road,32.30992,-64.735451,32.3261835,-64.7147658,2.66
458,B0506-23,27 Harvest Lane Unit: A,Hamilton,RELOCATED,near-number,#26 harvest lane,wrong parish,32.267315,-64.872368,32.3353981,-64.7335381,15.11
459,B0002-24,13 Foothills Road,Devonshire,RELOCATED,street,foothills road (19 pts in parish),wrong parish,32.3354143,-64.7322707,32.3134028,-64.7534065,3.16
460,B0503-23,10 Westwood Lane,Paget,RELOCATED,street,westwood lane (20 pts in parish),wrong parish,32.312807,-64.752368,32.2868308,-64.7798414,3.88
461,B0505-23,127 Middle Road,Southampton,RELOCATED,near-number,#118 middle road,wrong parish,32.286988,-64.780185,32.2548832,-64.8406697,6.72
462,B0018-24,12 Paget Close,Paget,RELOCATED,street,paget close (13 pts in parish),wrong parish,32.254039,-64.84694,32.2917742,-64.7728753,8.14
463,B0003-24,2 Tamarisk Hill,Smiths,RELOCATED,street,tamarisk hill (5 pts in parish),wrong parish,32.290606,-64.773248,32.3181993,-64.7457751,4.01
464,B0009-24,17 Mcgall's Bay Road,Smiths,RELOCATED,street,mcgalls bay road (14 pts in parish),>1.2km from mcgalls bay road,32.317988,-64.745986,32.3108347,-64.7305954,1.65
465,BR0001-24,5 Edgehill Drive,Paget,RELOCATED,street,edgehill drive (10 pts in parish),wrong parish,32.308879,-64.730553,32.2794658,-64.7883467,6.35
466,BR0005-24,38 Middle Road,Devonshire,RELOCATED,street-anchored,#16 middle road,wrong parish,32.279516,-64.788076,32.295416,-64.76825,2.57
467,B0022-24,8 Jackson Drive,Devonshire,RELOCATED,street,jackson drive (5 pts in parish),>1.2km from jackson drive,32.29586,-64.766568,32.3054803,-64.7521967,1.73
468,B0014-24,7 Knapton Crescent,Smiths,RELOCATED,street,knapton crescent (10 pts in parish),wrong parish,32.306043,-64.752237,32.3164596,-64.7199353,3.25
469,B0025-24,95 South Road,Paget,RELOCATED,near-number,#103 south road,wrong parish,32.316798,-64.719565,32.2810717,-64.7756122,6.6
470,B0023-24,24 Skyline Road,Smiths,RELOCATED,street,skyline road (15 pts in parish),wrong parish,32.280726,-64.776702,32.3191473,-64.720468,6.8
471,B0026-24,21 South Road,Smiths,RELOCATED,near-number,#23 south road,>0.3km from south road,32.319556,-64.720549,32.3066685,-64.7397557,2.31
472,B0035-24,22 Narrows Lane,St. George,RELOCATED,street,narrows lane (32 pts in parish),wrong parish,32.306682,-64.740254,32.3691168,-64.6659185,9.86
473,B0037-24,19 South Road,Southampton,RELOCATED,street-anchored,#56 south road,wrong parish,32.369247,-64.66457,32.2485197,-64.8392014,21.22
474,B0038-24,53 St. Anne's Road,Southampton,RELOCATED,near-number,#64 street annes road,>0.3km from street annes road,32.250391,-64.85057,32.2528267,-64.8345101,1.54
475,B0042-24,12 Harrington Hundreds Road Unit: A,Smiths,RELOCATED,street,harrington hundreds road (52 pts in parish),wrong parish,32.252656,-64.836254,32.3181969,-64.7248279,12.78
476,B0048-24,4 Knapton Crescent,Smiths,kept,,,,32.320632,-64.72602,32.320632,-64.72602,
477,BR0206-23,15 Harbour Road,Paget,RELOCATED,near-number,#27 harbour road,wrong parish,32.315434,-64.719929,32.28383,-64.7866553,7.2
478,B0068-24,13 Hillview Road,Warwick,RELOCATED,street,hillview road (28 pts in parish),wrong parish,32.282617,-64.78968,32.2691111,-64.8099144,2.43
479,B0039-24,12 Lighthouse Hill,St. George,RELOCATED,exact,addr point 12 lighthouse hill,wrong parish,32.269209,-64.810727,32.3661607,-64.6535595,18.31
480,B0062-24,3 Kilderry Close,Smiths,RELOCATED,street,kilderry close (5 pts in parish),wrong parish,32.3661611,-64.653535,32.3112462,-64.7451129,10.56
481,BR0037-24,34 Keith Hall Road,Warwick,RELOCATED,street,keith hall road (26 pts in parish),wrong parish,32.311464,-64.745214,32.2774325,-64.7978015,6.23
482,BR0035-24,28 Keith Hall Road,Warwick,kept,,,,32.2756,-64.797609,32.2756,-64.797609,
483,B0071-24,8 Riviera Road,Southampton,RELOCATED,street,riviera road (16 pts in parish),wrong parish,32.276122,-64.798414,32.2572071,-64.8260611,3.35
